agency_name,town,website,contact_page_url,region_focus,status,notes
Robert Luff & Co,Rye,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,Crowborough,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Crowborough,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,Crowborough,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Strutt & Parker,Crowborough,https://www.struttandparker.com,https://www.struttandparker.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Crowborough,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mann,Tunbridge Wells,https://www.manncountrywide.co.uk,https://www.manncountrywide.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Tunbridge Wells,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Tunbridge Wells,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylors,Tunbridge Wells,https://www.taylorsestateagents.co.uk,https://www.taylorsestateagents.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Tunbridge Wells,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Michael Jones,Maidstone,https://www.michaeljones.co.uk,https://www.michaeljones.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Robert Luff & Co,Maidstone,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Maidstone,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Sims Williams,Maidstone,https://www.simswilliams.co.uk,https://www.simswilliams.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Maidstone,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Strutt & Parker,Croydon,https://www.struttandparker.com,https://www.struttandparker.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Croydon,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Croydon,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Haart,Croydon,https://www.haart.co.uk,https://www.haart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Croydon,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylors,Bromley,https://www.taylorsestateagents.co.uk,https://www.taylorsestateagents.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Bromley,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Bromley,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Cubitt & West,Bromley,https://www.cubittandwest.co.uk,https://www.cubittandwest.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Bromley,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Sims Williams,Guildford,https://www.simswilliams.co.uk,https://www.simswilliams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Guildford,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Guildford,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Maslen Estate Agents,Guildford,https://www.maslen.co.uk,https://www.maslen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,Guildford,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Haart,Woking,https://www.haart.co.uk,https://www.haart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Woking,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Woking,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Foxtons,Woking,https://www.foxtons.co.uk,https://www.foxtons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,Woking,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Cubitt & West,Reigate,https://www.cubittandwest.co.uk,https://www.cubittandwest.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Reigate,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Reigate,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Your Move,Reigate,https://www.your-move.co.uk,https://www.your-move.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Reigate,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Maslen Estate Agents,Redhill,https://www.maslen.co.uk,https://www.maslen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,Redhill,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,Redhill,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Town Property,Redhill,https://www.town-property.com,https://www.town-property.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,Redhill,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Foxtons,Epsom,https://www.foxtons.co.uk,https://www.foxtons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,Epsom,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,Epsom,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Acorn,Epsom,https://www.acorngroup.co.uk,https://www.acorngroup.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,Epsom,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Your Move,Reading,https://www.your-move.co.uk,https://www.your-move.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Reading,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Reading,https://www.hunters.com,https://www.hunters.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Belvoir,Reading,https://www.belvoir.co.uk,https://www.belvoir.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Reading,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Town Property,Oxford,https://www.town-property.com,https://www.town-property.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,Oxford,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,Oxford,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
William H Brown,Oxford,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Oxford,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Acorn,Basingstoke,https://www.acorngroup.co.uk,https://www.acorngroup.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,Basingstoke,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Basingstoke,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Basingstoke,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Basingstoke,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Belvoir,Winchester,https://www.belvoir.co.uk,https://www.belvoir.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Winchester,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Winchester,https://www.martinco.com,https://www.martinco.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,Winchester,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,Winchester,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
